"species_name","common_name","total_kg","total_n","n_hauls"
"Gadus chalcogrammus","walleye pollock",18078.545,35897,17
"Gadus macrocephalus","Pacific cod",917.214,378,17
"Hippoglossoides elassodon","flathead sole",1404.782,5488,17
"Atheresthes evermanni","Kamchatka flounder",158.575,179,16
"Atheresthes stomias","arrowtooth flounder",1224.219,1480,16
"Lepidopsetta polyxystra","northern rock sole",35.691,89,13
"Lycodes brevipes","shortfin eelpout",256.974,3378,12
"Dasycottus setiger","spinyhead sculpin",15.628,97,10
"Hemitripterus bolini","bigmouth sculpin",130.356,23,10
"Icelus spiniger","thorny sculpin",2.807,120,10
"Lycodes palearis","wattled eelpout",55.752,275,10
"Sarritor frenatus","sawback poacher",4.546,85,10
"Careproctus phasma","monster snailfish",0.936,26,9
"Glyptocephalus zachirus","rex sole",180.086,313,7
"Hippoglossus stenolepis","Pacific halibut",78.367,27,7
"Myoxocephalus polyacanthocephalus","great sculpin",286.372,78,7
"Bathymaster signatus","searcher",43.446,193,6
"Careproctus scottae","peachskin snailfish",3.418,10,5
"Icelus spatula","spatulate sculpin",0.148,9,4
"Clupea pallasii","Pacific herring",38.024,124,3
"Hemilepidotus jordani","yellow Irish lord",18.172,53,3
"Sebastes alutus","Pacific ocean perch",913.093,1460,3
"Triglops scepticus","spectacled sculpin",9.978,294,3
"Aspidophoroides monopterygius","Aleutian alligatorfish",0.011,2,2
"Leptoclinus maculatus","daubed shanny",0.014,3,2
"Pleuronectes quadrituberculatus","Alaska plaice",6.092,4,2
"Hippoglossoides robustus","Bering flounder",0.122,1,1
"Limanda aspera","yellowfin sole",0.202,1,1
"Malacocottus zonurus","darkfin sculpin",1.24,10,1
"Podothecus accipenserinus","sturgeon poacher",0.056,2,1
"Poroclinus rothrocki","whitebarred prickleback",0.029,2,1
"Sebastes polyspinis","northern rockfish",0.924,1,1
"Zaprora silenus","prowfish",1.112,1,1
