"","alternative_ID","sample_type","haul","net","depth_m","Agonidae","Ammodytes personatus","Aspidophoroides monopterygius","Atheresthes","Bathyagonus","Bathymaster","Careproctus","Clupea pallasii","Dasycottus setiger","Gadus","Gasterosteus aculeatus","Glyptocephalus zachirus","Hemilepidotus","Hemitripterus bolini","Hippoglossoides","Hippoglossus stenolepis","Icelus spatula","Lepidopsetta","Leptoclinus maculatus","Limanda aspera","Lycodes brevipes","Lycodes palearis","Malacocottus","Microgadus proximus","Myoxocephalus","Oncorhynchus gorbuscha","Oncorhynchus keta","Oncorhynchus tshawytscha","Platichthys stellatus","Pleuronectes quadrituberculatus","Ptilichthys goodei","Reinhardtius hippoglossoides","Sarritor leptorhynchus","Sebastes","Sebastolobus","Triglops scepticus","Zaprora silenus"
"1","202401_162_187_1","sample",187,"Net_codend",88,0,0,0,0.016112684501559,0,0,0,0.157796253332984,0,0.786282993833276,0,0,0,0,0,0,0.000351722631201585,0.00678539473821604,0,0,0.0133889124765365,0.0136224498133113,0,0,0.00563018382699723,0,0,0,0,0,0,0,0,2.94048459186074e-05,0,0,0
"2","202401_162_187_2","sample",187,"CTD_roof",88,0,0,0,0.000313104236245386,0,0,0,0.055499052030891,0,0.66229634023969,0,0,0,0,0.0437111772917556,0.0284972407330279,0,0,0,0,0.177459523409933,0.0322235620584575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","202401_162_188_4","sample",188,"Net_codend",99,0,0,0,0.0310626790245733,0,0,0,0.0014226243535479,0,0.63096558543629,0,0,6.02373351002952e-05,0.00167470553666336,0.000455927944400067,0,0,0.000656746641103116,0,0,0.25412935531694,0.0788408521328626,0,0,0.000155749800643606,0,0,0,0.000239796255870874,0,0,0,0,0.000335740222004326,0,0,0
"4","202401_162_188_5","sample",188,"CTD_roof",99,0,0,0,0.0792303490968239,0,0,0,0.106706254008032,0,0.587846218531459,0,0,0,0,0,0,0,0.0134049038069539,0,0.000262023296253067,0.161841596024148,0.03659270328335,0,0,0,0,0,0,0,0,0,0.0141159519529801,0,0,0,0,0
"5","202401_162_189_7","sample",189,"Net_codend",107,0,0.000170362588375593,0,0.159269823008317,0,0,0,0.000333626735568869,0.000127771941281695,0.325360736112367,0,0,0,0,0.0092756105691898,0,0,0,0,0,0.194105064619212,0.0391773239026689,0,0,0.272067969844197,0,0,0,0,0,0,0,0,0.000111710678822367,0,0,0
"6","202401_162_189_8","sample",189,"CTD_roof",107,0,0,0,0.0332285732045808,0,0,0.00157850529313843,0.00357398258624381,0,0.708023686468535,0,0,0,0.00296879089243654,0,0,0,0.00249443862863125,0,0,0.217759442820074,0.0204352994121029,0,0,0.00315277090257643,0,0,0.0022629234141857,0,0.00452158637749557,0,0,0,0,0,0,0
"7","202401_162_190_10","sample",190,"Net_codend",100,0,0,0,0.0286600317757886,0,0,0,0.000929138806350882,0,0.682599407671398,0,0,0,0,0.00167184181610067,0,0.000266956099579192,0.000121645154681418,0,0,0.262919357232064,0.0204960982063051,0,0,0.00233552323773225,0,0,0,0,0,0,0,0,0,0,0,0
"8","202401_162_190_11","sample",190,"CTD_roof",100,0,0,0,0.141193355885632,0.00243284554677456,0,0.000270865371172934,0.0051832941312368,0,0.545212842321753,0,0,0,0.00715639142940777,0.0201856886846877,0,0.000848782710633278,0.0030816162857036,0,0,0.0929479536768534,0.00679227528008939,0,0,0.147540439205965,0,0.000671761738013,0,0.00121993945907065,0.0248949693830307,0,0,0,0.000366978889976234,0,0,0
"9","202401_162_191_13","sample",191,"Net_codend",110,0,0,0,0.0287372778752452,0,0,0,0,0,0.671078271775345,0,0,0.0646968329798167,0.00112852022326128,0.000449826658728296,0,0.00147694324257355,0,0,0.00157352429442053,0.22101471822513,0.00756942093451662,0,0,0.00227466379096314,0,0,0,0,0,0,0,0,0,0,0,0
"10","202401_162_191_14","sample",191,"CTD_roof",110,0.0029926335174954,0,0,0.119901316820393,0.00409615038907008,0,0,0.00565398447363751,0,0.654648360027412,0,0,0,0.00184580099908888,0.00574609818371871,0,0,0.00205449549295051,0,0,0.0891334128987296,0.0100339832099756,0,0,0.0958586393866045,0,0,0,0.000233440326816458,0.00388824044353662,0,0.0039134438305709,0,0,0,0,0
