"","total","spread","parent_id","curated","rank"
"ASV1",3656384,166,"ASV1","parent",1
"ASV3",513368,163,"ASV3","parent",3
"ASV2",693050,160,"ASV2","parent",2
"ASV4",285154,133,"ASV1","merged",4
"ASV5",215901,124,"ASV5","parent",5
"ASV24",10373,92,"ASV24","parent",24
"ASV11",43661,70,"ASV11","parent",11
"ASV18",18873,69,"ASV18","parent",18
"ASV9",97102,56,"ASV9","parent",9
"ASV23",11985,56,"ASV23","parent",23
"ASV8",102891,49,"ASV8","parent",8
"ASV6",133707,48,"ASV1","merged",6
"ASV15",27633,41,"ASV15","parent",15
"ASV13",31166,39,"ASV13","parent",13
"ASV17",25451,38,"ASV17","parent",17
"ASV10",48941,37,"ASV10","parent",10
"ASV16",25692,36,"ASV16","parent",16
"ASV31",5488,26,"ASV31","parent",31
"ASV20",14518,23,"ASV20","parent",20
"ASV27",6008,21,"ASV27","parent",27
"ASV71",780,19,"ASV5","merged",71
"ASV86",470,15,"ASV86","parent",86
"ASV25",8749,13,"ASV25","parent",25
"ASV33",4810,13,"ASV33","parent",33
"ASV59",1297,13,"ASV59","parent",59
"ASV19",14549,12,"ASV1","merged",19
"ASV26",8093,12,"ASV26","parent",26
"ASV39",3476,10,"ASV39","parent",39
"ASV49",2159,10,"ASV3","merged",49
"ASV172",39,10,"ASV172","parent",172
"ASV21",13448,9,"ASV21","parent",21
"ASV50",2159,9,"ASV50","parent",50
"ASV136",114,9,"ASV136","parent",136
"ASV14",30223,8,"ASV1","merged",14
"ASV29",5754,8,"ASV29","parent",29
"ASV7",119663,7,"ASV7","parent",7
"ASV30",5741,7,"ASV30","parent",30
"ASV76",653,7,"ASV76","parent",76
"ASV128",141,7,"ASV128","parent",128
"ASV34",4362,6,"ASV34","parent",34
"ASV79",632,6,"ASV79","parent",79
"ASV12",41680,5,"ASV12","parent",12
"ASV35",4242,5,"ASV7","merged",35
"ASV81",607,5,"ASV3","merged",81
"ASV201",8,5,"ASV201","parent",201
"ASV32",4830,4,"ASV1","merged",32
"ASV36",3899,4,"ASV1","merged",36
"ASV38",3546,4,"ASV1","merged",38
"ASV40",3314,4,"ASV5","merged",40
"ASV42",3036,4,"ASV1","merged",42
"ASV45",2588,4,"ASV2","merged",45
"ASV51",1995,4,"ASV2","merged",51
"ASV54",1721,4,"ASV1","merged",54
"ASV58",1335,4,"ASV1","merged",58
"ASV62",1009,4,"ASV26","merged",62
"ASV63",996,4,"ASV26","merged",63
"ASV64",906,4,"ASV64","parent",64
"ASV74",690,4,"ASV74","parent",74
"ASV100",256,4,"ASV1","merged",100
"ASV194",16,4,"ASV194","parent",194
"ASV37",3662,3,"ASV1","merged",37
"ASV43",2693,3,"ASV43","parent",43
"ASV44",2661,3,"ASV1","merged",44
