"","e05099-A","e05099-B","e05100-A","e05100-B","e05101-A","e05101-B","e05102-A","e05102-B","e05103-A","e05103-B","e05104-A","e05104-B","e05105-A","e05105-B","e05106-A","e05106-B","e05107-A","e05107-B","e05108-A","e05108-B","e05109-A","e05109-B","e05110-A","e05110-B","e05111-A","e05111-B","e05112-A","e05112-B","e05113-A","e05113-B","e05114-A","e05114-B","e05115-A","e05115-B","e05116-A","e05116-B","e05117-A","e05117-B","e05118-A","e05118-B","e05119-A","e05119-B","e05120-A","e05120-B","e05121-A","e05121-B","e05122-A","e05122-B","e05123-A","e05123-B","e05124-A","e05124-B","e05125-A","e05125-B","e05126-A","e05126-B","e05127-A","e05127-B","e05128-A","e05128-B","e05129-A","e05129-B","e05130-A","e05130-B","e05131-A","e05131-B","e05132-A","e05132-B","e05133-A","e05133-B","e05134-A","e05134-B","e05135-A","e05135-B","e05136-A","e05136-B","e05137-A","e05137-B","e05138-A","e05138-B","e05139-A","e05139-B","e05140-A","e05140-B","e05141-A","e05141-B","e05142-A","e05142-B","e05143-A","e05143-B","e05144-A","e05144-B","e05145-A","e05145-B","e05146-A","e05146-B","e05147-A","e05147-B","e05148-A","e05148-B","e05149-A","e05149-B","e05150-A","e05150-B","e05151-A","e05151-B","e05152-A","e05152-B","e05153-A","e05153-B","e05154-A","e05154-B","e05155-A","e05155-B","e05156-A","e05156-B","e05157-A","e05157-B","e05158-A","e05158-B","e05159-A","e05159-B","e05160-A","e05160-B","e05161-A","e05161-B","e05162-A","e05162-B","e05163-A","e05163-B","e05164-A","e05164-B","e05165-A","e05165-B","e05166-A","e05166-B","e05167-A","e05167-B","e05168-A","e05168-B","e05169-A","e05169-B","e05170-A","e05170-B","e05171-A","e05171-B","e05172-A","e05172-B","e05173-A","e05173-B","e05174-A","e05174-B","e05175-A","e05175-B","e05176-A","e05176-B","e05177-A","e05177-B","e05178-A","e05178-B","e05179-A","e05179-B","e05180-A","e05180-B","e05181-A","e05181-B","e05182-A","e05182-B","NC-Meta-A","NC-Meta-B","PC-Meta-A","PC-Meta-B"
"ASV1",27396,20674,22425,0,726,691,26283,18984,17773,13177,0,4676,14376,11889,31540,22199,845,4645,28124,21460,16189,15196,12692,9586,25115,20078,23081,21632,7880,7651,0,10247,19629,20620,18281,6590,23287,20166,27841,24124,11913,8486,17903,14066,31111,26309,21814,0,9423,7068,31966,25192,22318,1332,29945,25810,31602,26504,768,741,54836,43342,7161,6325,20608,1197,9655,7514,15180,11920,962,5307,43861,37060,37010,32496,706,712,50421,37427,32306,25864,13744,5114,54849,44742,50232,40665,312,373,62682,51032,50723,42260,42802,28353,53390,42479,36227,30153,42658,37991,23756,24847,40027,31620,35356,25576,15667,13363,33059,27219,31144,28097,17921,14229,29128,25070,25869,20464,0,0,36709,36932,29298,24071,30186,25475,30478,22122,37250,28752,10920,10047,33295,25367,37677,32629,46666,31306,46457,37991,7034,6281,8586,7877,20365,12593,38406,36061,32547,29147,60500,49911,34612,34759,50698,42270,49976,31068,54535,41865,40955,35168,61125,54941,39852,36945,894,1304,830,864
"ASV10",5467,3837,2526,1986,0,0,32,79,4757,2299,1531,0,0,47,6,6,0,0,43,18,106,103,0,0,0,0,109,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8630,7487,0,1930,64,60,2593,4647,0,0,322,264,59,29,175,196,0,0,210,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,0,0
"ASV101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",449,298,0,720,0,0,2235,1800,897,0,0,0,1237,1113,2190,198,0,0,512,474,0,323,0,0,201,162,934,0,0,0,0,0,0,455,0,0,80,83,214,172,0,0,134,130,113,227,0,0,0,0,111,164,0,0,0,0,0,0,0,0,364,0,0,0,0,0,166,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,115,0,0,65,42,37,0,0,0,0,0,0,0,666,596,1874,1803,3754,3327,4867,705,1425,1231,590,0,660,567,222,63,175,215,0,301,229,210,1684,0,119,107,247,0,215,183,109,0,0,0,66,0,0,0,0,0,0,0,0,0,179,246,0,0,0,0,0,0,0,0,0,0,0,49,0,199,49,67,0,0,0,60,0,0,0,0,0,0
"ASV110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,45082,10
"ASV122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
