"","ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"1","ASV1","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"2","ASV10","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"3","ASV100","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"4","ASV101","Leptoclinus maculatus","species","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"5","ASV102","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"6","ASV103","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"7","ASV104","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"8","ASV105","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"9","ASV106","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"10","ASV107","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"11","ASV108","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"12","ASV109","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"13","ASV11","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"14","ASV110","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"15","ASV111","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"16","ASV112","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"17","ASV113","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"18","ASV114","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"19","ASV115","Glyptocephalus zachirus","species","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"20","ASV116","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"21","ASV117","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"22","ASV118","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
